Date,X,Y,UT1-UTC,X_Variation,Y_Variation,Delta_T,X+Y_Variation
2024-03-05,0.78,280.77,-2.998,-1.4799999999999998,2.240000000000009,0.35799999999999965,3.7200000000000086
2024-03-04,2.26,278.53,-3.356,-1.29,3.159999999999968,0.14000000000000012,4.449999999999968
2024-03-03,3.55,275.37,-3.496,-0.4800000000000004,3.2200000000000273,-0.02400000000000002,3.7000000000000277
2024-03-02,4.03,272.15,-3.472,-1.42,2.079999999999984,-0.08899999999999997,3.499999999999984
2024-03-01,5.45,270.07,-3.383,-2.2699999999999996,2.159999999999968,-0.2250000000000001,4.429999999999968
2024-02-29,7.72,267.91,-3.158,-2.9699999999999998,2.230000000000018,-0.30600000000000005,5.200000000000018
2024-02-28,10.69,265.68,-2.852,-2.880000000000001,1.8799999999999955,-0.3759999999999999,4.759999999999996
2024-02-27,13.57,263.8,-2.476,-2.629999999999999,2.3100000000000023,-0.21899999999999986,4.940000000000001
2024-02-26,16.2,261.49,-2.257,-2.3599999999999994,1.8100000000000023,-0.28,4.170000000000002
2024-02-25,18.56,259.68,-1.977,-3.0600000000000023,1.9399999999999977,-0.10000000000000009,5.0
2024-02-24,21.62,257.74,-1.877,-2.4599999999999973,2.680000000000007,0.05800000000000005,5.140000000000004
2024-02-23,24.08,255.06,-1.935,-2.3200000000000003,1.8600000000000136,0.19099999999999984,4.180000000000014
2024-02-22,26.4,253.2,-2.126,-2.4700000000000024,1.7299999999999898,0.2370000000000001,4.199999999999992
2024-02-21,28.87,251.47,-2.363,-1.9299999999999997,1.8499999999999943,0.31000000000000005,3.779999999999994
2024-02-20,30.8,249.62,-2.673,-2.0599999999999987,1.4099999999999966,0.1589999999999998,3.4699999999999953
2024-02-19,32.86,248.21,-2.832,-2.280000000000001,1.6599999999999966,0.14500000000000002,3.9399999999999977
2024-02-18,35.14,246.55,-2.977,-1.8299999999999983,1.5800000000000125,-0.07899999999999974,3.410000000000011
2024-02-17,36.97,244.97,-2.898,-1.6400000000000006,1.0999999999999943,-0.41400000000000015,2.739999999999995
2024-02-16,38.61,243.87,-2.484,-1.7100000000000009,0.5300000000000011,-0.7110000000000001,2.240000000000002
2024-02-15,40.32,243.34,-1.773,-2.3399999999999963,1.1299999999999955,-0.8529999999999999,3.4699999999999918
2024-02-14,42.66,242.21,-0.92,-2.200000000000003,1.5999999999999943,-1.049,3.799999999999997
